[barrnap] Found: 16S_rRNA s11.ctg000020c L=1493/1585 298886..300378 + 16S ribosomal RNA	C04M3_hifiasm_r63_complete.11
[barrnap] Found: 23S_rRNA s11.ctg000020c L=2890/3232 301145..304034 + 23S ribosomal RNA	C04M3_hifiasm_r63_complete.11
[barrnap] Found: 23S_rRNA s11.ctg000020c L=2890/3232 1825176..1828065 - 23S ribosomal RNA	C04M3_hifiasm_r63_complete.11
[barrnap] Found: 5S_rRNA s11.ctg000020c L=110/119 304284..304393 + 5S ribosomal RNA	C04M3_hifiasm_r63_complete.11
[barrnap] Found: 5S_rRNA s11.ctg000020c L=110/119 1824840..1824949 - 5S ribosomal RNA	C04M3_hifiasm_r63_complete.11
[barrnap] Found: 16S_rRNA s152.ctg000258c L=1525/1585 1539745..1541269 + 16S ribosomal RNA	C04M3_hifiasm_r63_complete.113
[barrnap] Found: 16S_rRNA s152.ctg000258c L=1525/1585 658121..659645 - 16S ribosomal RNA	C04M3_hifiasm_r63_complete.113
[barrnap] Found: 23S_rRNA s152.ctg000258c L=2866/3232 1541632..1544497 + 23S ribosomal RNA	C04M3_hifiasm_r63_complete.113
[barrnap] Found: 23S_rRNA s152.ctg000258c L=2866/3232 655068..657933 - 23S ribosomal RNA	C04M3_hifiasm_r63_complete.113
[barrnap] Found: 5S_rRNA s152.ctg000258c L=109/119 1544685..1544793 + 5S ribosomal RNA	C04M3_hifiasm_r63_complete.113
[barrnap] Found: 5S_rRNA s152.ctg000258c L=109/119 654772..654880 - 5S ribosomal RNA	C04M3_hifiasm_r63_complete.113
[barrnap] Found: 16S_rRNA s12.ctg000022c L=1509/1585 1619520..1621028 + 16S ribosomal RNA	C04M3_hifiasm_r63_complete.13
[barrnap] Found: 16S_rRNA s12.ctg000022c L=1509/1585 2121346..2122854 + 16S ribosomal RNA	C04M3_hifiasm_r63_complete.13
[barrnap] Found: 16S_rRNA s12.ctg000022c L=1509/1585 911459..912967 - 16S ribosomal RNA	C04M3_hifiasm_r63_complete.13
[barrnap] Found: 23S_rRNA s12.ctg000022c L=2831/3232 1621584..1624414 + 23S ribosomal RNA	C04M3_hifiasm_r63_complete.13
[barrnap] Found: 23S_rRNA s12.ctg000022c L=2831/3232 2123410..2126240 + 23S ribosomal RNA	C04M3_hifiasm_r63_complete.13
[barrnap] Found: 23S_rRNA s12.ctg000022c L=2831/3232 908073..910903 - 23S ribosomal RNA	C04M3_hifiasm_r63_complete.13
[barrnap] Found: 5S_rRNA s12.ctg000022c L=108/119 1624658..1624765 + 5S ribosomal RNA	C04M3_hifiasm_r63_complete.13
[barrnap] Found: 5S_rRNA s12.ctg000022c L=108/119 2126484..2126591 + 5S ribosomal RNA	C04M3_hifiasm_r63_complete.13
[barrnap] Found: 5S_rRNA s12.ctg000022c L=108/119 907722..907829 - 5S ribosomal RNA	C04M3_hifiasm_r63_complete.13
[barrnap] Found: 16S_rRNA s345.ctg000495c L=1506/1585 768969..770474 + 16S ribosomal RNA	C04M3_hifiasm_r63_complete.148
[barrnap] Found: 16S_rRNA s345.ctg000495c L=1506/1585 1950885..1952390 - 16S ribosomal RNA	C04M3_hifiasm_r63_complete.148
[barrnap] Found: 23S_rRNA s345.ctg000495c L=2913/3232 770822..773734 + 23S ribosomal RNA	C04M3_hifiasm_r63_complete.148
[barrnap] Found: 23S_rRNA s345.ctg000495c L=2913/3232 1807184..1810096 - 23S ribosomal RNA	C04M3_hifiasm_r63_complete.148
[barrnap] Found: 5S_rRNA s345.ctg000495c L=111/119 773847..773957 + 5S ribosomal RNA	C04M3_hifiasm_r63_complete.148
[barrnap] Found: 5S_rRNA s345.ctg000495c L=111/119 1806961..1807071 - 5S ribosomal RNA	C04M3_hifiasm_r63_complete.148
[barrnap] Found: 16S_rRNA s15.ctg000027c L=1497/1585 317964..319460 + 16S ribosomal RNA	C04M3_hifiasm_r63_complete.16
[barrnap] Found: 16S_rRNA s15.ctg000027c L=1497/1585 731058..732554 + 16S ribosomal RNA	C04M3_hifiasm_r63_complete.16
[barrnap] Found: 16S_rRNA s15.ctg000027c L=1497/1585 1859340..1860836 - 16S ribosomal RNA	C04M3_hifiasm_r63_complete.16
[barrnap] Found: 23S_rRNA s15.ctg000027c L=2832/3232 319826..322657 + 23S ribosomal RNA	C04M3_hifiasm_r63_complete.16
